id,time,InfectionLevel11,dead1,infected1,naive1,patientFlowOver11,patientFlowOver21,patient_severe_critical1,vaccinated1
201,4/04:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
202,4/05:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
203,4/05:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
204,4/06:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
205,4/06:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
206,4/07:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
207,4/07:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
208,4/08:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
209,4/08:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
210,4/09:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
211,4/09:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
212,4/10:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
213,4/10:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
214,4/11:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
215,4/11:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
216,4/12:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
217,4/12:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
218,4/13:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
219,4/13:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
220,4/14:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
221,4/14:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
222,4/15:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
223,4/15:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
224,4/16:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
225,4/16:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
226,4/17:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
227,4/17:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
228,4/18:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
229,4/18:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
230,4/19:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
231,4/19:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
232,4/20:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
233,4/20:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
234,4/21:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
235,4/21:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
236,4/22:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
237,4/22:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
238,4/23:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
239,4/23:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
240,5/00:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
241,5/00:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
242,5/01:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
243,5/01:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
244,5/02:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
245,5/02:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
246,5/03:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
247,5/03:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
248,5/04:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
249,5/04:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
250,5/05:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
251,5/05:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
252,5/06:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
253,5/06:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
254,5/07:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
255,5/07:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
256,5/08:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
257,5/08:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
258,5/09:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
259,5/09:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
260,5/10:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
261,5/10:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
262,5/11:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
263,5/11:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
264,5/12:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
265,5/12:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
266,5/13:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
267,5/13:30,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
268,5/14:00,0.0,0.0,20.0,9980.0,20.0,20.0,0.0,0.0
